year,time,birthrate,deathrate
1998,0,0.00047500,0.00009808
1999,52,0.00047500,0.00009808
2000,104,0.00044231,0.00009808
2001,156,0.00044231,0.00009808
2002,208,0.00044231,0.00009808
2003,260,0.00044231,0.00009808
2004,312,0.00044231,0.00009808
2005,364,0.00041346,0.00009808
2006,416,0.00041346,0.00010385
2007,468,0.00041346,0.00010385
2008,520,0.00041346,0.00010385
2009,572,0.00041346,0.00010385
2010,624,0.00038462,0.00011346
2011,676,0.00038462,0.00011346
2012,728,0.00038462,0.00011346
2013,780,0.00038462,0.00011346
2014,832,0.00038462,0.00011346
2015,884,0.00034615,0.00013462
2016,936,0.00034615,0.00013462
2017,988,0.00034615,0.00013462
2018,1040,0.00034615,0.00013462
2019,1092,0.00034615,0.00013462
2020,1144,0.00032308,0.00014038
2021,1196,0.00032308,0.00014038
2022,1248,0.00032308,0.00014038
2023,1300,0.00032308,0.00014038
2024,1352,0.00032308,0.00014038
2025,1404,0.00031731,0.00014231
2026,1456,0.00031731,0.00014231
2027,1508,0.00031731,0.00014231
2028,1560,0.00031731,0.00014231
2029,1612,0.00031731,0.00014231
2030,1664,0.00031731,0.00014231
