symbol,description,value,notes,source,,,,,
pa1,"Probability of an
asymptomatic infection
with no prior immunity",0.10000,"Value obtained from a 
simulation study which
simulated probability
of clinical infection in
the range (80,100)","(Silal et al, 2019)",,,,,
gamma,"1/Latent period 
of infection",0.56000,"This paper quotes the
onset of infection to be
10-15 days so 12.5 days
is used","(Kim et al, 2013)",,,,,
pa2,"Probability of an
asymptomatic infection
upon re-infection ",0.67300,"Taken as the percentage
of all P. vivax infected
individuals that were and
remained asymptomatic
throughout 2 cross 
sectional household
surveys in Brazil","(Almeida et al, 2018)",,,,,
pa3,"Probability of 
treatment seeking
if clinically infected",0.52500,"Observed and predicted
treatment seeking rate
using national-level
predictions. Taken as
the midpoint of Venezuela
(50-55%) for the ""any 
treatment"" seeking map","(Battle et al, 2016)",,,,,
tau1,"Rate of treatment
seeking (1/average
number of days to
seek treatment since
symptoms began)",1.40000,"Taken as the mean
number of days to
consultation for a 
P. vivax infected 
individual","(Forero-Peno et al, 2021)",,,,,
tau2,"Rate of loss of 
symptoms from
clinical infection
to asymptomatic
infection ",0.35000,"Taken as the 1/ average
duration of symptoms 
in an untreated clinical
infection. Obtained from
a simulation study (the 
first attached source) 
which simulated in the
range (2,60) ","(Silal et al, 2019; Yount
and Coggeshall, 1949;
John and Petri, 2006)",,,,,
phyp1,"Probability of 
recovery with
hypnozoites
following PQ+CQ
 treatment",0.30000,"Assumed from an expert
opinion presented in this
paper by Michael T. White.
The efficacy value includes
the effect of poor adherence
to treatment plan","(White et al, 2018)",,,,,
tau3,"Rate of recovery
following asymptomatic
infection with no 
treatment (1/average
number of days to 
recover since 
symptoms began)",0.05385,"Taken as the 1/ average
duration of symptoms in
an untreated symptomatic
infection. Obtained from a
simulation study (the first
attached source) which
simulated in the range
(60,200)","(Silal et al, 2019; John
et al, 2006; Nguyen et
al, 2018; Tripura et al,
2016; Adolphe, 2016)",,,,,
tau4,"Rate of loss of 
protection against
reinfection following
3 days of CQ treatment",0.16667,"Taken as 1/ the remaining 
prophylatic period of CQ
following the loss of
infectiousness (37 days).
An individual is protected
against reinfection for 
this period ","(Recht et al, 2017)",,,,,
tau5,Rate of relapse,0.13208,"1/average number of 
days taken to relapse 
following end of 
treatment plan","(Huber et al, 2022)",,,,,
pa7,"Probability of 
asymptomatic infection
if relapsing",0.71000,"Taken as the percentage 
of all recurrent P.vivax 
infections that occurred 
within a year which were 
asymptomatic","(Van den Eede et al, 2011)",,,,,
pa8,"Probability of 
relapse if 
recovered with
hypnozoites",0.27560,"Taken as the percentage
of P. vivax infected individuals
that re-presented with P. vivax
within 30 days of any dose of 
PQ (no PQ, low dose PQ, high
dose PQ). Any dose group was
used instead of just the low 
dose PQ group since in the 
model, those who do not 
receive treatment can also
relapse ","(Thriemer et al., 2020)",,,,,
